Text,Sentiment
Vir  3086 Biju he 4 Nov nu,negative
28feb nu 6 kg lassi di Spry koti,negative
4 March nu pili atte Burri  Da attact ho Gia,negative
Vir aeda jhar kina hoea ae vi jarur dassna,negative
Bai g 1600 wali kanak lai k osnu 2800  di veach rahe ne,negative
kisan veer voot sahane hann,negative
add de pais dane han baikar kisan,positive
Paddy seed 1637  contact 9813096129,negative
Varity Dasi ni kihri hai,neutral
Bhai ye variety kon si hai,positive
Karnal de lve indri Kasba h ah kamboj seed indri da h menu Apna mobile no send kardo m sawere aapjinu rate dasduga mera whatsapp no 9536089748 h,negative
pani di khapt kini k aa,negative
Hthi badi da ki kaarn aa,negative
Yes this happening in market I m from biggest basmati market Taraori  basmati rates coming down,negative
Sir ji jine sohne amb the amrud Europe vich milde ne one vadya te India vich v nahi milde je tusi kaho te picture js video bna ke send karie,negative
pakistan ch hadd ton vadh kudarti kheti kiti jandi va,negative
ise lai pakistan di fasal vich kise v kisam di kami nahi hundi,negative
kudarti kheti to bhav sab ton vadh nehri pani di varto hai kio k us pani vich kudarti ghah foos gal sar k bani  khaad mojood hundi hai  jis nal kise v fasal nu 99 koi bimari nahi lagdi,negative
sade istemal kita jaan vala tubwell da pani khaad pdartha tobn rehat hai,negative
Veere sabto badda utpadak china second india,negative
Kudrati kheti es da wdia hl ha,negative
Be Natural grow natural and eat natural,positive
Western govts are very clever they introduce pesticide to us and now banning our products We had  believed in organic farming,positive
1121 ta nhi aunda ede ch oh ta viku ga hee,negative
Fudu bna rahe 1410 basmati nahi hundi Pakistan basmati nahi vech sakda India ne basmati name copyright kita hoya hai  basmati name te America v nahi vech sakda,negative
1410 nahi baji 1401 hai bai ji,negative
Bai pakistan waleya nu puch lo ki nuska use Karde a oh,negative
Rice na lon koi sabji lon  Pani tan agge thle jai janda thika hun ghat rice longe,negative
Pusa 1410 tan baasmati di kism hi nhi,negative
khatti lassi de spray kria kro,negative
Koi hal hona chahida g,negative
Organik kheti karo  oh sapreh ban karo  waste d compose  use karo,negative
Sara masla eh a veer ki apniya kutiya sarkara de eh pange a sare Sarkaara de agent Jo sample chola de Bahar bhejde a oh chol mix kar dinde a Ghotala Sarkaara kardiya Hun bhugtange kisaan,negative
save europian from Indian poisen,negative
Saleo Shortly Das Dao  Kisan Sparay Krde A  Europe de Lok kehnde Ansi india De chol khala ke apne lok nai marne,negative
